group,totalCPM,sampEvent,seq
cyanobacteria other,0,LSZ2,cyno
diatom cylindrotheca pennate,0,LSZ2,dtcp
diatom egg shaped,0,LSZ2,dtes
diatom other,0,LSZ2,dtmo
dinoflagellate prorocentrum,0,LSZ2,dnflglltprr
flagellate colonial,0,LSZ2,flglltcl
flagellate euglenid,0,LSZ2,flge
flagellate in a cone,0,LSZ2,fiac
flagellate NA,0,LSZ2,flNA
ochrophyte synura,0,LSZ2,ochs
tintinnid hyaline,0,LSZ2,tnth
unidentified rotifer,0,LSZ2,undntfdrt
unidentified triangle,0,LSZ2,undt
chlorophyte actinastrum,0,SJR1,chla
chlorophyte pediastrum,0,SJR1,chlp
ciliate oblong,0,SJR1,cltob
ciliate other,0,SJR1,cltot
cyanobacteria NA,0,SJR1,cyNA
diatom cylindrotheca pennate,0,SJR1,dtcp
diatom egg shaped,0,SJR1,dtes
diatom NA,0,SJR1,dtNA
diatom other,0,SJR1,dtmo
diatom pennate fragillaria,0,SJR1,dtpf
dinoflagellate peridinium,0,SJR1,dnflglltprd
dinoflagellate prorocentrum,0,SJR1,dnflglltprr
flagellate colonial,0,SJR1,flglltcl
flagellate cryptomonas,0,SJR1,flglltcr
flagellate euglenid,0,SJR1,flge
flagellate in a cone,0,SJR1,fiac
tintinnid agglutinated,0,SJR1,tnta
tintinnid hyaline,0,SJR1,tnth
unidentified triangle,0,SJR1,undt
chlorophyte actinastrum,0,SJR2,chla
chlorophyte other,0,SJR2,chlo
chlorophyte pediastrum,0,SJR2,chlp
ciliate other,0,SJR2,cltot
ciliate other odd shape,0,SJR2,coos
cyanobacteria NA,0,SJR2,cyNA
diatom cylindrotheca pennate,0,SJR2,dtcp
diatom egg shaped,0,SJR2,dtes
diatom NA,0,SJR2,dtNA
dinoflagellate prorocentrum,0,SJR2,dnflglltprr
flagellate euglenid,0,SJR2,flge
flagellate in a cone,0,SJR2,fiac
ochrophyte synura,0,SJR2,ochs
unidentified flagchloro,0,SJR2,undf
unidentified rotifer,0,SJR2,undntfdrt
unidentified triangle,0,SJR2,undt
chlorophyte actinastrum,0,WLD2,chla
chlorophyte pediastrum,0,WLD2,chlp
cyanobacteria NA,0,WLD2,cyNA
diatom cylindrotheca pennate,0,WLD2,dtcp
diatom other,0,WLD2,dtmo
dinoflagellate peridinium,0,WLD2,dnflglltprd
flagellate colonial,0,WLD2,flglltcl
flagellate in a cone,0,WLD2,fiac
flagellate NA,0,WLD2,flNA
ochrophyte synura,0,WLD2,ochs
chlorophyte actinastrum,0,YBP1,chla
chlorophyte other,0,YBP1,chlo
chlorophyte pediastrum,0,YBP1,chlp
ciliate other odd shape,0,YBP1,coos
cyanobacteria other,0,YBP1,cyno
diatom NA,0,YBP1,dtNA
diatom pennate fragillaria,0,YBP1,dtpf
dinoflagellate prorocentrum,0,YBP1,dnflglltprr
flagellate NA,0,YBP1,flNA
ochrophyte synura,0,YBP1,ochs
unidentified rotifer,0,YBP1,undntfdrt
unidentified triangle,0,YBP1,undt
ciliate other,0,YBP2,cltot
cyanobacteria NA,0,YBP2,cyNA
dinoflagellate prorocentrum,0,YBP2,dnflglltprr
flagellate colonial,0,YBP2,flglltcl
flagellate in a cone,0,YBP2,fiac
unidentified triangle,0,YBP2,undt
