"","samp_ev","exp","rep","grp_sz","counts"
"245","SJR1","FC","3","chlorophyte colonial 64 64",0
"246","SJR1","T24","3","chlorophyte colonial 64 64",0
"247","YBP2","FC","1","chlorophyte colonial 64 64",0
"248","YBP2","T24","1","chlorophyte colonial 64 64",0
"249","YBP2","FC","2","chlorophyte colonial 64 64",0
"250","YBP2","T24","2","chlorophyte colonial 64 64",0
"251","YBP2","FC","3","chlorophyte colonial 64 64",0
"252","YBP2","T24","3","chlorophyte colonial 64 64",0
"253","SJR2","FC","1","chlorophyte other 16 16",0
"254","SJR2","T24","1","chlorophyte other 16 16",0
"255","SJR2","FC","2","chlorophyte other 16 16",0
"256","SJR2","T24","2","chlorophyte other 16 16",0
"257","SJR2","FC","3","chlorophyte other 16 16",0
"258","SJR2","T24","3","chlorophyte other 16 16",0
"259","YBP1","FC","1","chlorophyte other 16 16",0
"260","YBP1","T24","1","chlorophyte other 16 16",0
"261","YBP1","FC","2","chlorophyte other 16 16",0
"262","YBP1","T24","2","chlorophyte other 16 16",0
"263","YBP1","FC","3","chlorophyte other 16 16",0
"264","YBP1","T24","3","chlorophyte other 16 16",0
"265","LSZ2","FC","1","chlorophyte other 16 16",0
"266","LSZ2","T24","1","chlorophyte other 16 16",0
"267","LSZ2","FC","2","chlorophyte other 16 16",0
"268","LSZ2","T24","2","chlorophyte other 16 16",0
"269","LSZ2","FC","3","chlorophyte other 16 16",0
"270","LSZ2","T24","3","chlorophyte other 16 16",0
"271","WLD2","FC","1","chlorophyte other 16 16",0
"272","WLD2","T24","1","chlorophyte other 16 16",0
"273","WLD2","FC","2","chlorophyte other 16 16",0
"274","WLD2","T24","2","chlorophyte other 16 16",0
"275","WLD2","FC","3","chlorophyte other 16 16",0
"276","WLD2","T24","3","chlorophyte other 16 16",0
"277","SJR1","FC","1","chlorophyte other 16 16",0
"278","SJR1","T24","1","chlorophyte other 16 16",0
"279","SJR1","FC","2","chlorophyte other 16 16",0
"280","SJR1","T24","2","chlorophyte other 16 16",0
"281","SJR1","FC","3","chlorophyte other 16 16",0
"282","SJR1","T24","3","chlorophyte other 16 16",0
"283","YBP2","FC","1","chlorophyte other 16 16",0
"284","YBP2","T24","1","chlorophyte other 16 16",0
"285","YBP2","FC","2","chlorophyte other 16 16",0
"286","YBP2","T24","2","chlorophyte other 16 16",0
"287","YBP2","FC","3","chlorophyte other 16 16",0
"288","YBP2","T24","3","chlorophyte other 16 16",0
"289","SJR2","FC","1","chlorophyte pediastrum 16 16",0
"290","SJR2","T24","1","chlorophyte pediastrum 16 16",0
"291","SJR2","FC","2","chlorophyte pediastrum 16 16",0
"292","SJR2","T24","2","chlorophyte pediastrum 16 16",0
"293","SJR2","FC","3","chlorophyte pediastrum 16 16",0
"294","SJR2","T24","3","chlorophyte pediastrum 16 16",0
"295","YBP1","FC","1","chlorophyte pediastrum 16 16",0
"296","YBP1","T24","1","chlorophyte pediastrum 16 16",0
"297","YBP1","FC","2","chlorophyte pediastrum 16 16",0
"298","YBP1","T24","2","chlorophyte pediastrum 16 16",0
"299","YBP1","FC","3","chlorophyte pediastrum 16 16",0
"300","YBP1","T24","3","chlorophyte pediastrum 16 16",0
"301","LSZ2","FC","1","chlorophyte pediastrum 16 16",0
"302","LSZ2","T24","1","chlorophyte pediastrum 16 16",0
"303","LSZ2","FC","2","chlorophyte pediastrum 16 16",0
"304","LSZ2","T24","2","chlorophyte pediastrum 16 16",0
"305","LSZ2","FC","3","chlorophyte pediastrum 16 16",0
"306","LSZ2","T24","3","chlorophyte pediastrum 16 16",0
"307","WLD2","FC","1","chlorophyte pediastrum 16 16",0
"308","WLD2","T24","1","chlorophyte pediastrum 16 16",0
"309","WLD2","FC","2","chlorophyte pediastrum 16 16",0
"310","WLD2","T24","2","chlorophyte pediastrum 16 16",0
"311","WLD2","FC","3","chlorophyte pediastrum 16 16",0
"312","WLD2","T24","3","chlorophyte pediastrum 16 16",0
"313","SJR1","FC","1","chlorophyte pediastrum 16 16",0
"314","SJR1","T24","1","chlorophyte pediastrum 16 16",0
"315","SJR1","FC","2","chlorophyte pediastrum 16 16",0
"316","SJR1","T24","2","chlorophyte pediastrum 16 16",0
"317","SJR1","FC","3","chlorophyte pediastrum 16 16",0
"318","SJR1","T24","3","chlorophyte pediastrum 16 16",0
"319","YBP2","FC","1","chlorophyte pediastrum 16 16",6
"320","YBP2","T24","1","chlorophyte pediastrum 16 16",0
"321","YBP2","FC","2","chlorophyte pediastrum 16 16",0
"322","YBP2","T24","2","chlorophyte pediastrum 16 16",0
"323","YBP2","FC","3","chlorophyte pediastrum 16 16",1
"324","YBP2","T24","3","chlorophyte pediastrum 16 16",0
"325","SJR2","FC","1","chlorophyte pediastrum 40 40",0
"326","SJR2","T24","1","chlorophyte pediastrum 40 40",0
"327","SJR2","FC","2","chlorophyte pediastrum 40 40",0
"328","SJR2","T24","2","chlorophyte pediastrum 40 40",0
"329","SJR2","FC","3","chlorophyte pediastrum 40 40",0
"330","SJR2","T24","3","chlorophyte pediastrum 40 40",0
"331","YBP1","FC","1","chlorophyte pediastrum 40 40",0
"332","YBP1","T24","1","chlorophyte pediastrum 40 40",0
"333","YBP1","FC","2","chlorophyte pediastrum 40 40",0
"334","YBP1","T24","2","chlorophyte pediastrum 40 40",0
